ahat,Ahat
2.717137574,6.727086552
2.717137574,6.727086552
2.739695886,6.986998624
2.705967723,6.935676536
2.728550291,7.195589878
2.728550291,7.195589878
2.728550291,7.195589878
2.69186284,7.122261318
2.69186284,7.122261318
2.661102995,7.087621429
2.661102995,7.087621429
2.677465957,7.268986495
2.677465957,7.268986495
2.677465957,7.268986495
2.696636848,7.563285197
2.696636848,7.563285197
2.711553113,7.736112314
2.711553113,7.736112314
2.711553113,7.736112314
2.711553113,7.736112314
2.72348706,8.008745961
2.72348706,8.008745961
2.72348706,8.008745961
2.718825161,8.167509984
2.71840901,8.364547557
2.71840901,8.364547557
2.71840901,8.364547557
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.741494351,8.713365832
2.730057041,8.562983271
2.7351934,8.628835935
2.7351934,8.628835935
2.7351934,8.628835935
2.7351934,8.628835935
2.7351934,8.628835935
2.7351934,8.628835935
2.7351934,8.628835935
2.7351934,8.628835935
2.7351934,8.628835935
2.7351934,8.628835935
2.7351934,8.628835935
2.748922953,8.814028916
2.748922953,8.814028916
2.748922953,8.814028916
2.748922953,8.814028916
2.748922953,8.814028916
2.748922953,8.814028916
2.748922953,8.814028916
2.752107336,8.855726694
2.770067009,9.111046871
2.760314118,8.977920015
2.783979403,9.36315497
2.783438424,9.355722618
2.760981663,9.017750966
2.760981663,9.017750966
2.760981663,9.017750966
2.760981663,9.017750966
2.760981663,9.017750966
2.760981663,9.017750966
2.760981663,9.017750966
2.760981663,9.017750966
2.760981663,9.017750966
2.757969741,8.977625139
2.757969741,8.977625139
2.757969741,8.977625139
2.757969741,8.977625139
2.781790141,9.372290588
2.781790141,9.372290588
2.781790141,9.372290588
2.802157021,9.680772372
2.823169202,10.10395544
2.809907485,9.740939398
2.809907485,9.740939398
2.809907485,9.740939398
2.809907485,9.740939398
2.833389282,10.18383784
2.833389282,10.18383784
2.833389282,10.18383784
2.833389282,10.18383784
2.856277266,10.56365098
2.856277266,10.56365098
2.856277266,10.56365098
2.856277266,10.56365098
2.856277266,10.56365098
2.856277266,10.56365098
2.856277266,10.56365098
2.856277266,10.56365098
2.856277266,10.56365098
2.856277266,10.56365098
2.856277266,10.56365098
2.831079757,10.13280387
2.831079757,10.13280387
2.831079757,10.13280387
2.831079757,10.13280387
2.831079757,10.13280387
2.831079757,10.13280387
2.849228343,10.42211266
2.870709399,10.78196679
2.870709399,10.78196679
2.870709399,10.78196679
2.870709399,10.78196679
2.870709399,10.78196679
2.870709399,10.78196679
2.870709399,10.78196679
2.846660771,10.36967344
2.846660771,10.36967344
2.706682777,9.163586618
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.687880379,9.205942672
2.689159908,9.223963397
2.689159908,9.223963397
2.689159908,9.223963397
2.689159908,9.223963397
2.689159908,9.223963397
2.689159908,9.223963397
2.689159908,9.223963397
2.689159908,9.223963397
2.668287583,8.905537899
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.667898783,9.112507958
2.609767341,8.769582796
2.609767341,8.769582796
2.627213752,9.115741555
2.627213752,9.115741555
2.627213752,9.115741555
2.634294703,9.219351222
2.634294703,9.219351222
2.634294703,9.219351222
2.634294703,9.219351222
2.634294703,9.219351222
2.645858673,9.393546561
2.661019808,9.661209965
2.661019808,9.661209965
2.661019808,9.661209965
2.670947984,9.816356137
2.670947984,9.816356137
2.670947984,9.816356137
2.670947984,9.816356137
2.670947984,9.816356137
2.670947984,9.816356137
2.670947984,9.816356137
2.670947984,9.816356137
2.686393196,10.06908324
2.686393196,10.06908324
2.686393196,10.06908324
2.686393196,10.06908324
2.686393196,10.06908324
2.686393196,10.06908324
2.686393196,10.06908324
2.664166579,9.67382219
2.664166579,9.67382219
2.664166579,9.67382219
2.664166579,9.67382219
2.664166579,9.67382219
2.677186559,9.880766657
2.677186559,9.880766657
2.677186559,9.880766657
2.696287681,10.20319444
2.696287681,10.20319444
2.696287681,10.20319444
2.673991496,9.791111975
2.673991496,9.791111975
2.673991496,9.791111975
2.673991496,9.791111975
2.673991496,9.791111975
2.657613827,9.528633704
2.669470441,9.713043678
2.669470441,9.713043678
